"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"30","RT @KirkDBorne: 10 Awesome Ways #BigData Is Used Today To Change Our World: https://t.co/9CvqC5IrlA #abdsc #Analytics #DataScience https://…",FALSE,0,NA,2015-11-12 04:18:14,FALSE,NA,"664658434940243968",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","gauth555",4,TRUE,FALSE,NA,NA
"31","RT @KirkDBorne: Get 50+ *free* #DataScience Books at https://t.co/dRslrU5m2h  #abdsc #BigData #Analytics #MachineLearning https://t.co/mAp9…",FALSE,0,NA,2015-11-12 04:18:10,FALSE,NA,"664658417412235264",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","saurabhprasad",8,TRUE,FALSE,NA,NA
"32","El atractivo de la visualización de datos https://t.co/2X0nzVtjC4 #BigData",FALSE,0,NA,2015-11-12 04:18:08,FALSE,NA,"664658409782951936",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","icloudseven",0,FALSE,FALSE,NA,NA
"33","Get 50+ *free* #DataScience Books at https://t.co/bXYYqxtujw  #abdsc #BigData #Analytics #MachineLearning https://t.co/LuaWJzrsef",FALSE,0,NA,2015-11-12 04:17:54,FALSE,NA,"664658353327468544",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BigData2025",0,FALSE,FALSE,NA,NA
"34","RT @ConstellationRG: Find out if Watson @IBMAnalytics is right for your org. New report: https://t.co/8aTf02nowx @DHenschen #bigdata https:…",FALSE,0,NA,2015-11-12 04:17:47,FALSE,NA,"664658322247819264",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Avisank",3,TRUE,FALSE,NA,NA
"35","RT @BryanJGuinn: How #IoT and #bigdata will change from life of big industry. https://t.co/DtJWRvS4Mg #MSFTPartner",FALSE,0,NA,2015-11-12 04:17:47,FALSE,NA,"664658320850968576",NA,"<a href=""http://tweetfull.com"" rel=""nofollow"">Tweet Full</a>","Doorda",1,TRUE,FALSE,NA,NA
"36","#welcometweet @waliyzui_13 @pkseetaram @arjanabella enjoy #thefutureofmarketing on @LinkedIn #BigData #SocialMedia https://t.co/9wiXS60Vit",FALSE,1,NA,2015-11-12 04:17:45,FALSE,NA,"664658314865733632",NA,"<a href=""https://unfollowers.com"" rel=""nofollow"">Unfollowers</a>","juanblanco76",0,FALSE,FALSE,NA,NA
"37","#welcometweet @Endogol @mamourson2424 @AlanJBoardman enjoy #thefutureofmarketing on @LinkedIn #BigData #SocialMedia https://t.co/9wiXS60Vit",FALSE,0,NA,2015-11-12 04:17:45,FALSE,NA,"664658312919543808",NA,"<a href=""https://unfollowers.com"" rel=""nofollow"">Unfollowers</a>","juanblanco76",0,FALSE,FALSE,NA,NA
"38","#welcometweet @VSchinca @chambhaa @AndrewsNiki enjoy #thefutureofmarketing on @LinkedIn #BigData #SocialMedia https://t.co/9wiXS60Vit",FALSE,1,NA,2015-11-12 04:17:44,FALSE,NA,"664658310663004160",NA,"<a href=""https://unfollowers.com"" rel=""nofollow"">Unfollowers</a>","juanblanco76",0,FALSE,FALSE,NA,NA
"39","What are the TOP 10 PRIORITIES for a SUCCESSFUL #Hadoop IMPLEMENTATION? https://t.co/Xf01LHT95e #tech #data #datascience #bigdata #analytics",FALSE,2,NA,2015-11-12 04:17:40,FALSE,NA,"664658292040429568",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","charleshslin",0,FALSE,FALSE,NA,NA
