"","Game.ID","Team","Player","Player.ID","Minutes.Played","Field.Goals","Field.Goal.Attempts","Field.Goal.Percentage","X3.Point.Field.Goals","X3.Point.Field.Goal.Attempts","X3.Point.Field.Goal.Percentage","Free.Throws","Free.Throw.Attempts","Free.Throw.Percentage","Offensive.Rebounds","Defensive.Rebounds","Total.Rebounds","Assists","Steals","Blocks","Turnovers","Personal.Fouls","Points","Plus.Minus","Games","GP"
"229","201210310UTA","DAL","Vince Carter","cartevi01","20:00",3,12,0.25,2,4,0.5,4,4,1,0,1,1,2,0,0,1,5,12,-9,NA,1
"230","201210310UTA","DAL","Bernard James","jamesbe01","16:09",1,5,0.2,0,0,NA,6,6,1,2,4,6,0,1,0,1,3,8,-27,NA,1
"231","201210310UTA","DAL","Rodrigue Beaubois","beaubro01","15:19",3,5,0.6,1,2,0.5,1,1,1,0,1,1,0,2,1,1,3,8,-16,NA,1
"232","201210310UTA","DAL","Eddy Curry","curryed01","8:01",1,1,1,0,0,NA,0,2,0,0,0,0,0,0,0,2,3,2,0,NA,1
"233","201210310UTA","DAL","Dahntay Jones","jonesda02","7:43",1,4,0.25,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,2,-24,NA,1
"234","201210310UTA","DAL","Jared Cunningham","cunnija01","6:03",0,3,0,0,1,0,0,0,NA,0,0,0,0,1,0,1,1,0,-4,NA,1
"235","201210310UTA","DAL","Dominique Jones","jonesdo02","0:45",0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,1
"236","201210310UTA","UTA","Paul Millsap","millspa01","32:55:00",5,12,0.417,0,0,NA,3,4,0.75,8,7,15,3,1,0,0,3,13,18,NA,1
"237","201210310UTA","UTA","Mo Williams","willima01","29:52:00",7,16,0.438,2,4,0.5,5,5,1,0,2,2,6,2,2,2,2,21,17,NA,1
"238","201210310UTA","UTA","Marvin Williams","willima02","29:33:00",7,13,0.538,2,3,0.667,5,5,1,0,3,3,1,1,1,1,2,21,9,NA,1
"239","201210310UTA","UTA","Al Jefferson","jeffeal01","28:30:00",4,11,0.364,0,0,NA,4,4,1,5,9,14,2,3,0,1,2,12,8,NA,1
"240","201210310UTA","UTA","Gordon Hayward","haywago01","23:49",4,10,0.4,0,1,0,3,5,0.6,3,0,3,2,0,0,0,3,11,1,NA,1
"241","201210310UTA","UTA","Randy Foye","foyera01","21:55",4,9,0.444,2,4,0.5,3,3,1,0,3,3,3,0,0,1,2,13,19,NA,1
"242","201210310UTA","UTA","Jamaal Tinsley","tinslja01","18:08",1,4,0.25,0,1,0,0,0,NA,0,1,1,4,1,1,1,3,2,2,NA,1
"243","201210310UTA","UTA","Derrick Favors","favorde01","17:59",1,2,0.5,0,0,NA,4,6,0.667,2,8,10,0,0,2,3,3,6,11,NA,1
"244","201210310UTA","UTA","DeMarre Carroll","carrode01","16:11",1,5,0.2,0,1,0,3,4,0.75,1,1,2,2,0,1,0,1,5,11,NA,1
"245","201210310UTA","UTA","Enes Kanter","kanteen01","14:20",3,5,0.6,0,0,NA,0,2,0,1,6,7,0,1,1,4,3,6,2,NA,1
"246","201210310UTA","UTA","Kevin Murphy","murphke01","2:16",1,2,0.5,0,0,NA,0,0,NA,0,0,0,0,0,0,1,1,2,-1,NA,1
"247","201210310UTA","UTA","Jeremy Evans","evansje01","2:16",0,0,NA,0,0,NA,1,2,0.5,0,1,1,0,1,0,0,0,1,-1,NA,1
"248","201210310UTA","UTA","Alec Burks","burksal01","2:16",0,0,NA,0,0,NA,0,2,0,0,0,0,1,0,0,0,0,0,-1,NA,1
"249","201211010SAS","OKC","Kevin Durant","duranke01","40:39:00",9,18,0.5,1,2,0.5,4,5,0.8,2,12,14,5,2,0,4,1,23,2,NA,1
"250","201211010SAS","OKC","Russell Westbrook","westbru01","37:27:00",6,21,0.286,0,3,0,6,8,0.75,3,5,8,5,0,0,6,3,18,2,NA,1
"251","201211010SAS","OKC","Serge Ibaka","ibakase01","31:02:00",2,7,0.286,0,1,0,0,0,NA,1,8,9,0,0,2,1,5,4,-8,NA,1
"252","201211010SAS","OKC","Kendrick Perkins","perkike01","27:59:00",1,2,0.5,0,0,NA,0,0,NA,3,3,6,2,0,1,1,4,2,-6,NA,1
"253","201211010SAS","OKC","Thabo Sefolosha","sefolth01","27:18:00",2,7,0.286,2,3,0.667,2,2,1,0,3,3,1,0,0,1,1,8,-4,NA,1
"254","201211010SAS","OKC","Kevin Martin","martike02","32:31:00",4,10,0.4,3,6,0.5,4,4,1,1,1,2,5,1,0,1,2,15,6,NA,1
"255","201211010SAS","OKC","Nick Collison","collini01","20:01",2,6,0.333,0,0,NA,2,2,1,1,0,1,0,1,1,2,2,6,4,NA,1
"256","201211010SAS","OKC","Hasheem Thabeet","thabeha01","12:09",0,0,NA,0,0,NA,1,2,0.5,1,1,2,0,2,1,1,2,1,-2,NA,1
"257","201211010SAS","OKC","Eric Maynor","maynoer01","10:33",3,6,0.5,1,2,0.5,0,0,NA,0,3,3,0,0,0,1,0,7,-4,NA,1
"258","201211010SAS","OKC","Reggie Jackson","jacksre01","0:21",0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,1
"259","201211010SAS","SAS","Boris Diaw","diawbo01","35:20:00",4,6,0.667,0,2,0,2,4,0.5,1,6,7,4,1,1,3,4,10,11,NA,1
"260","201211010SAS","SAS","Tony Parker","parketo01","34:52:00",6,13,0.462,1,2,0.5,1,2,0.5,1,2,3,11,0,0,1,3,14,-2,NA,1
"261","201211010SAS","SAS","Danny Green","greenda02","34:35:00",5,9,0.556,3,6,0.5,0,0,NA,0,5,5,2,1,0,0,2,13,0,NA,1
"262","201211010SAS","SAS","Tim Duncan","duncati01","33:43:00",8,19,0.421,0,0,NA,4,6,0.667,0,8,8,1,0,3,0,2,20,-5,NA,1
"263","201211010SAS","SAS","Kawhi Leonard","leonaka01","32:06:00",2,8,0.25,0,3,0,2,2,1,1,3,4,1,5,0,4,4,6,1,NA,1
"264","201211010SAS","SAS","Stephen Jackson","jacksst02","27:23:00",4,10,0.4,1,5,0.2,2,2,1,2,4,6,3,1,0,2,1,11,2,NA,1
"265","201211010SAS","SAS","Gary Neal","nealga01","16:47",4,6,0.667,0,1,0,0,0,NA,0,1,1,3,0,0,1,0,8,0,NA,1
"266","201211010SAS","SAS","DeJuan Blair","blairde01","10:31",1,5,0.2,0,0,NA,0,0,NA,1,3,4,1,0,0,1,1,2,9,NA,1
"267","201211010SAS","SAS","Matt Bonner","bonnema01","8:13",0,0,NA,0,0,NA,0,0,NA,0,1,1,1,1,0,0,1,0,0,NA,1
"268","201211010SAS","SAS","Tiago Splitter","splitti01","4:16",1,2,0.5,0,0,NA,0,0,NA,0,0,0,0,0,0,0,3,2,-4,NA,1
"269","201211010SAS","SAS","Patrick Mills","millspa02","2:15",0,1,0,0,0,NA,0,0,NA,0,0,0,0,0,0,1,0,0,-2,NA,1
"270","201211020ATL","HOU","Jeremy Lin","linje01","39:50:00",6,16,0.375,2,3,0.667,7,8,0.875,5,5,10,7,0,0,3,2,21,9,NA,1
"271","201211020ATL","HOU","James Harden","hardeja01","39:49:00",14,19,0.737,2,4,0.5,15,17,0.882,1,6,7,2,0,0,5,3,45,17,NA,1
"272","201211020ATL","HOU","Omer Asik","asikom01","35:13:00",0,7,0,0,0,NA,0,0,NA,9,10,19,1,1,1,3,2,0,15,NA,1
"273","201211020ATL","HOU","Chandler Parsons","parsoch01","30:41:00",2,9,0.222,1,6,0.167,1,2,0.5,2,3,5,6,3,0,3,2,6,1,NA,1
"274","201211020ATL","HOU","Patrick Patterson","pattepa01","28:58:00",4,11,0.364,1,4,0.25,0,0,NA,3,4,7,2,2,1,3,0,9,13,NA,1
"275","201211020ATL","HOU","Carlos Delfino","delfica01","25:47:00",2,8,0.25,1,5,0.2,2,2,1,0,2,2,2,2,0,2,1,7,-6,NA,1
"276","201211020ATL","HOU","Marcus Morris","morrima03","19:02",8,14,0.571,1,6,0.167,0,0,NA,2,3,5,0,0,0,1,2,17,-6,NA,1
"277","201211020ATL","HOU","Cole Aldrich","aldrico01","12:31",2,3,0.667,0,0,NA,0,0,NA,1,0,1,0,0,0,0,3,4,-6,NA,1
"278","201211020ATL","HOU","Toney Douglas","douglto01","8:10",0,3,0,0,2,0,0,0,NA,0,2,2,2,0,0,1,3,0,-2,NA,1
"279","201211020ATL","ATL","Josh Smith","smithjo03","41:33:00",9,21,0.429,0,1,0,0,0,NA,1,9,10,2,0,3,3,2,18,-7,NA,1
"280","201211020ATL","ATL","Al Horford","horfoal01","37:28:00",6,10,0.6,0,0,NA,2,2,1,0,5,5,3,1,0,2,1,14,-11,NA,1
"281","201211020ATL","ATL","Jeff Teague","teaguje01","27:01:00",6,10,0.6,0,0,NA,2,2,1,0,1,1,7,2,1,4,4,14,-10,NA,1
